movie_name,genre,budget_crore,marketing_crore,actor_rating,director_rating,runtime_min,success
Avatar 2,Action,200,350,9.0,8.2,180,1
Galaxy Quest,Sci-Fi,120,220,8.0,7.8,130,1
Love Again,Romance,35,70,6.5,6.8,110,1
Dark Night,Action,150,120,8.5,8.0,150,0
The Last Hero,Adventure,180,400,9.2,8.7,165,1
City Lights,Drama,40,95,7.8,7.5,125,1
Space War,Sci-Fi,220,180,7.0,6.9,155,0
Funny Friends,Comedy,30,140,8.2,7.9,105,1
Broken Dreams,Drama,55,45,6.2,6.0,145,0
Ocean Mystery,Thriller,90,160,7.9,7.6,135,1
Action Force,Action,250,130,6.8,6.7,170,0
Royal Love,Romance,45,210,8.7,8.1,120,1
Hidden Truth,Thriller,70,85,7.2,7.0,140,0
Magic World,Fantasy,110,280,8.8,8.4,150,1
Village Story,Drama,25,80,8.0,7.8,115,1
Robot Attack,Sci-Fi,190,100,6.5,6.3,160,0
Comedy Night,Comedy,25,155,8.4,8.0,100,1
Lost Island,Adventure,130,90,6.9,6.5,145,0
Future Earth,Sci-Fi,160,300,8.9,8.5,175,1
Silent Killer,Thriller,60,55,6.4,6.2,125,0
Dream Wedding,Romance,30,125,7.5,7.3,115,1
War Zone,Action,210,190,7.4,7.1,165,0
Family Bonds,Drama,35,175,8.6,8.3,130,1
Monster Island,Fantasy,100,75,6.7,6.4,150,0
Super Cop,Action,80,240,8.3,7.9,140,1
The Detective,Thriller,50,135,8.1,7.7,130,1
Comedy Club,Comedy,20,60,6.0,6.2,95,0
Dragon Kingdom,Fantasy,140,260,8.7,8.2,160,1
Road Trip,Adventure,45,105,7.6,7.4,120,1
Final Mission,Action,175,110,6.6,6.8,155,0
Heart Beats,Romance,28,150,8.1,7.9,118,1
Night Terror,Thriller,40,65,6.3,6.1,108,0
Great Escape,Adventure,95,200,8.5,8.0,145,1
Deep Ocean,Adventure,125,70,6.8,6.6,155,0
Hero Returns,Action,100,275,8.9,8.5,150,1
Perfect Family,Drama,42,120,7.9,7.6,128,1
Alien World,Sci-Fi,180,140,7.1,7.0,165,0
Crazy Weekend,Comedy,22,115,7.7,7.5,102,1
Secret Code,Thriller,65,100,7.3,7.1,125,0
Royal Kingdom,Fantasy,155,320,9.1,8.6,170,1
Summer Love,Romance,32,95,7.0,7.2,112,1
Last Stand,Action,230,160,7.0,6.9,175,0
True Story,Drama,30,135,8.3,8.0,122,1
Haunted House,Horror,45,90,7.0,6.5,118,0
Time Travelers,Sci-Fi,135,245,8.6,8.2,155,1
Best Friends,Comedy,18,75,7.4,7.1,98,1
Deadly Game,Thriller,85,60,6.6,6.3,142,0
Jungle King,Adventure,105,225,8.4,8.1,148,1
Dark Kingdom,Fantasy,120,95,6.5,6.4,160,0
